brokenmindbody.1c;Infirm!;;;;;;x
brokenmindbody.1c_desc;Make your enemy feel the burdens of age, strike with infirmity;;;;;;x
brokenmindbody.1d;Hunchback!;;;;;;x
brokenmindbody.1d_desc;Make your foe cave over in pain, make them a hunchback.;;;;;;x

magickill.1;MAGIC IS MIGHT!;;;;;;x
magickill.1_desc;Lashing out with raw magical fire, you strike visciously at your enemy seeking to destroy them completely. As your energies slowly begin to ebb, you feel the rush of bloodlust subside, while the success of your brutal assault is unclear in the smoking ruins of the abode, one thing is certain, the effects of this attack will undoubtedly leave a mark.;;;;;;x
magickill.1a;WITH FIRE AND BLOOD!;;;;;;x
magickill.1b;WITH FIRE AND BLOOD!;;;;;;x
magickill.2;They Survived!;;;;;;x
magickill.2_desc;Your foe has been hideously wounded, if your eyes do not decieve you they had even suffered having their eyes boiled from their skulls. Even though they have survived, you have left them bearing forever the irremovable marks of your fury, they shall never again blight your sight, if they are lucky.;;;;;;x
magickill.2a;The curr flees, but I guess it has not all been for naught.;;;;;;x
magickill.1c;DIE, JUST DIE!!!;;;;;;x

apprentice.1;An Appprentice emerges!;;;;;;x 
apprentice.1_desc;After many long hours, you have finally managed to beat the secrets of the arcane into your chosen students head. What they shall do with their limited understanding of the mystical arts is up to them, but now is the moment to choose what you shall give advanced instruction to them in.;;;;;;x
apprentice.1a;Herbalism is the path they shall follow!;;;;;;x
apprentice.1b;Alchemy is the path they shall follow!;;;;;;x
apprentice.1c;Mentalism and Illusion is the path they shall follow!;;;;;;x
apprentice.1d;The arts of war shall be the path they shall follow!;;;;;;x

whispersdamned.1;May your friends and lovers become your most bitter enemies.;;;;;;x
whispersdamned.1_desc;Calling on your mastery of the most delicate of the magical arts, you let your powers run wild, bringing nothing but dispar to the mind of your victim, as they slowly and surely lose all those they once named friend and family.;;;;;;x
whispersdamned.1a;And now you shall know what it is to be alone;;;;;;x

fieldoffire.1;And the earth ran red with fire and blood;;;;;;x
fieldoffire.1_desc;Your magics are supreme, and war is your essence. Calling upon your arcane energies you marshal yourself for a great showing of power. Be prepared, that such an action shall strike awe into all the world, but that is your legacy, of fire and of blood;;;;;;x
fieldoffire.1a;BURN YOU BASTARDS, BURNNN!;;;;;;x
fieldoffire.1a_desc;Unleash your terrible magics and watch your enemies become as glass;;;;;;x
fieldoffire.1b;No, I shall be gracious;;;;;;x
fieldoffire.1b_desc;You let those insignificant fools live, for right now they are not worth it.;;;;;;x
1firestorm_siege_targeted_decision;Siege of Fire;;;;;;x
1firestorm_siege_targeted_decision_desc;Obliterate your enemies within their own castle;;;;;;x

siegeoffire.1a;And may hell take you all close to her bosom!;;;;;;x
siegeoffire.1a_desc;Your rage knows no limits, your power is supreme, you call upon the fires of sorcery to obliterate all who stand before you.;;;;;;x
siegeoffire.1b;Mercy, I shall have mercy;;;;;;x
siegeoffire.1b_desc;You show mercy upon the poor souls within the castle.;;;;;;x
