sorceryfocus.1b;Ah these books on Alchemy!;;;;;;x
sorceryfocus.1c;Ah these books on Mentalism!;;;;;;x
sorceryfocus.1d;Ah these books on War Magic!;;;;;;x

sorceryfocus.2;Eureka!;;;;;;x
sorceryfocus.2_desc;Your long tireless search has revealed to you a long ignored tome. It's symbols seem to glow with arcane powers, and just looking at it you can feel your mind begin to break, but you have come to far, and the cost must be worth the gain?!;;;;;;x
sorceryfocus.2a;Embrace lunacy and claim your power!;;;;;;x
sorceryfocus.2b;Invite the spirits to show you the way;;;;;;x
sorceryfocus.2c;Let your body whither so your mind may transcend.;;;;;;x
sorceryfocus.2d;Invite death and pluck the secrets from the ether.;;;;;;x


sorceryfocus.3;Eureka!;;;;;;x
sorceryfocus.3_desc;Your long tireless search has revealed to you a long ignored tome. It's symbols seem to glow with arcane powers, and just looking at it you can feel your mind begin to break, but you have come to far, and the cost must be worth the gain?!;;;;;;x
sorceryfocus.3a;Embrace lunacy and claim your power!;;;;;;x
sorceryfocus.3b;Invite the spirits to show you the way;;;;;;x
sorceryfocus.3c;Let your body whither so your mind may transcend.;;;;;;x
sorceryfocus.3d;Invite death and pluck the secrets from the ether.;;;;;;x


sorceryfocus.4;Eureka!;;;;;;x
sorceryfocus.4_desc;Your long tireless search has revealed to you a long ignored tome. It's symbols seem to glow with arcane powers, and just looking at it you can feel your mind begin to break, but you have come to far, and the cost must be worth the gain?!;;;;;;x
sorceryfocus.4a;Embrace lunacy and claim your power!;;;;;;x
sorceryfocus.4b;Invite the spirits to show you the way;;;;;;x
sorceryfocus.4c;Let your body whither so your mind may transcend.;;;;;;x
sorceryfocus.4d;Invite death and pluck the secrets from the ether.;;;;;;x


sorceryfocus.5;Eureka!;;;;;;x
sorceryfocus.5_desc;Your long tireless search has revealed to you a long ignored tome. It's symbols seem to glow with arcane powers, and just looking at it you can feel your mind begin to break, but you have come to far, and the cost must be worth the gain?!;;;;;;x
sorceryfocus.5a;Embrace lunacy and claim your power!;;;;;;x
sorceryfocus.5b;Invite the spirits to show you the way;;;;;;x
sorceryfocus.5c;Let your body whither so your mind may transcend.;;;;;;x
sorceryfocus.5d;Invite death and pluck the secrets from the ether.;;;;;;x

sorceryfocus.10;Sorcerer!;;;;;;x
sorceryfocus.10_desc;Your mastery of the arcane knows no equal, claim your rightful title;;;;;;x
sorceryfocus.10a;Embrace lunacy and claim your power!;;;;;;x
sorceryfocus.10b;Invite the spirits to show you the way;;;;;;x
sorceryfocus.10c;Let your body whither so your mind may transcend.;;;;;;x
sorceryfocus.10d;Invite death and pluck the secrets from the ether.;;;;;;x

2summon_undead;War Magic:Conjuring;;;;;;x
2summon_undead_desc;Conjure the hordes of the damned to fight your wars.;;;;;;x


1magic_kill_decision;War Magic:Magical Assault;;;;;;x
1magic_kill_decision_desc;For one who plays with the forces of life, even the taking of life is within your grasp.;;;;;;x


1broken_mindandbody_decision;Alchemy:Curse of the Broken;;;;;;x
1broken_mindandbody_decision_desc;By conjuring forth the forces of chaos you wrack your targets body with deformities.;;;;;;x


1Whispers_of_damned_decision;Mind Magic:Curse of the Damned;;;;;;x
1Whispers_of_damned_decision_desc;You curse your enemy to suffer the fate of the hated.;;;;;;x


2trainapprentice;Sorcery:Train an Apprentice;;;;;;x
2trainapprentice_desc;As an acknowledged master of all the arts of magic, it falls within your gift to take and train an apprentice.;;;;;;x


field_of_fire_targeted_decision;War Magic:Field of Fire;;;;;;x
field_of_fire_targeted_decision_desc;Unleash your fury in a field of fire!;;;;;;x


siegeoffire.1;War Magic:Siege of Fire!;;;;;;x
siegeoffire.1_desc;You conjure forth your hellfires and let them rage against the enemy castle. This bulwark shall be their tomb;;;;;;x

2Heal_others_request_decision;Herbalism:Healing Touch (Herbalist);;;;;;x
2Heal_others_request_decision_desc;Heal others by commanding your Herbalist to restore them;;;;;;x
1sorcerous_plague_request_decision;Curse of Plague(Herbalist);;;;;;x
1sorcerous_plague_request_decision_desc;Unleash the curse of plagues with this horrid spell;;;;;;x
2ritual_of_mind_and_body_request_decision;Herbalism:Ritual of Mind and Body(Herbalist);;;;;;x
2ritual_of_mind_and_body_request_decision_desc;Command your Herbalist to empower another;;;;;;x

1mind_control_request_decision;Mind Magic:Curse of Mind Control(Mentalist);;;;;;x
1mind_control_request_decision_desc;Control the minds of others through your Mentalist;;;;;;x
1possession_request_decision;Mind Magic:Curse of Possession(Mentalist);;;;;;x
1possession_request_decision_desc;Curse others with a possession through your Mentalist;;;;;;x
1Whispers_of_damned_request_decision;Mind Magic:Cast Whispers of the Damned(pet wizard);;;;;;x
1Whispers_of_damned_request_decision_desc;You order your subject wizard to unleash the dark whispers;;;;;;x


2transmute_request_decision;Alchemy:Transmute Gold(Alchemist);;;;;;x
2transmute_request_decision_desc;Command your alchemist to sacrifice their life force to give you gold;;;;;;x
2attribte_ritual__request_decision;Attribute Ritual(Alchemist);;;;;;x
2attribte_ritual__request_decision_desc;Command your alchemist to boost the attributes of the target;;;;;;x
1broken_mindandbody_request_decision;Alchemy:Transmute Body(Alchemist);;;;;;x
1broken_mindandbody_request_decision_desc;Command your alchemist to transmute and deform the body of your enemy;;;;;;x

1magic_kill_request_decision;War Magic:Magical Assault(War Mage);;;;;;x
1magic_kill_request_decision_desc;Command your War Mage to attack the target;;;;;;x


1requestfirestorm_siege_targeted_decision;War Magic:Siege of Fire (War Mage);;;;;;x
1requestfirestorm_siege_targeted_decision_desc;Command your war mage to unleash a siege of fire on the target;;;;;;x
siegeoffire.2;The fires of War;;;;;;x
siegeoffire.2_desc;Your War Mage has long prepared the fires that he is about to unleash. These the very pinnacle of his sorcery, straining against his faculties of control. Are you truly prepared to have such slaughter done in your name?;;;;;;x 
#siegeoffire.2a;Wipe them out, All of them!;;;;;;x
#siegeoffire.2a_desc;It is better for them all to die, every last one of them.;;;;;;x
#siegeoffire.2b;NO!;;;;;;x
#siegeoffire.2b_desc;I shall not let my servant become the monster;;;;;;x
field_of_fire_req_targeted_decison;War Magic:Field of Fire (War Mage);;;;;;x
field_of_fire_req_targeted_decison_desc;Command your War Mage to obliterate armies in a rain of hellish fire;;;;;;x
fieldoffire.2;Fields of Fire;;;;;;x
fieldoffire.2_desc;Your War Mage at your direction has marshalled forth their power, preparing to smite your enemies, shall you have them use the forces of the damned?.;;;;;;x
fieldoffire.2a; Burn them, BURN THEM ALL!;;;;;;x
fieldoffire.2a_desc;The fires shall run free and the world shall burn;;;;;;x
fieldoffire.2b;NO!;;;;;;x
fieldoffire.2b_desc;Let them live;;;;;;x

magic_shield;Magic Shield;;;;;;x
Sorcery;Sorcerer;;;;;;x
Mentalist;Mentalist;;;;;;x
Alchemist;Alchemist;;;;;;x
Herbalist;Herbalist;;;;;;x
War_Mage;War Mage;;;;;;x
Sorcery_desc;Sorcerer;;;;;;x
Mentalist_desc;Mentalist;;;;;;x
Alchemist_desc;Alchemist;;;;;;x
Herbalist_desc;Herbalist;;;;;;x
War_Mage_desc;War Mage;;;;;;x
2magicshield_decision;Sorcery:Magic Shield;;;;;;x
2magicshield_decision_desc;A shield of magic that prevents harmful spells;;;;;;x

magic_subjugation_descison;Sorcery:Magical Subjugation Ritual.;x
magic_subjugation_descison_desc;Using your magic you restrain the violent impulses of the populace of the province, leaving them less likely to rebel.;x
magic_subjugation;Magical Subjugation;x
magic_subjugation_desc;This province is pacified with magic;x

time_transliteraation;Alchemy:Time Transliteration Ritual.;x
time_transliteraation_desc;Focusing your magics you take your province outside the flow of time, making the building of holdings instantaneous.;x
magic_time;Magic Time;x
magic_time_desc;Time is faster here;x


magic_devestation_descison;War Magic:Magic Devestation Ritual.;x
magic_devestation_descison_desc;Devestate the province you are in, inflicting lasting harm.;x
magic_devestation;Magic Devestation;x
magic_devestation_desc;Magic Devestation;x

magic_preparation_descison;Herbalism:Magic Preparation Ritual;x
magic_preparation_descison_desc;Use your magics to make the lands more fertile, increasing your ability to muster your forces in this province;x
magic_preparation;Magic Preparation;x
magic_preparation_desc;Magic Preparation;x

magic_illusion_descison;Mind Magic:Magic Illusion Ritual;x
magic_illusion_descison_desc;Using your magics you shrowd yourself in illusions, making your plot power double what it would otherwise be.;x
magic_illusion;Illusion Magic;x
magic_illusion_desc;Illusion Magics;x

1enchant_decision;Mind Magic:Enchant;x
1enchant_decision_desc;Enchant your vassals temporarily to pass your laws!;x
1enchant_decision;Enchant;x
1enchant_decision_desc;For six months your vassals shall love you!;x

magic_awareness_descison;Mind Magic:Magic Awareness Ritual;x
magic_awareness_descison_desc;Using your magics you greatly increase your ability to forsee impending plots.;x
magic_awareness;Magic Awareness;x
magic_awareness_desc;Magic Awareness;x

1mind_illusion_decision;Mind Magic:Mental Manipulation;x
1mind_illusion_decision_desc;Use your magices to alter the minds of the world to see things your way.;x
mindillusionspell.1;Mental Manipulation;x
mindillusionspell.1_desc; Your magics flare binding all those to the image within your mind, your actions are now rightful no matter what the truth of the matter is.;x
mindillusionspell.1a;Mind Control;x
mindillusionspell.1b;Rights of the Liege!;x
mindillusionspell.1c;Claim Lands!;x
mindillusionspell.1d;Make Vassal!;x
mindillusionspell.1b_desc;Imprison, revoke or banish!;x
mindillusionspell.1c_desc;Force a lunatic to abdicate to you!;x
mindillusionspell.1d_desc;If they are an independent ruler of a lesser tier, make them your vassal.;x

magic_power;Mana;;;;;;;;;;;;;x;;
mana_loc;[Root.magic_power.GetName] value is : [Root.magic_power.GetValue].;;;;;;;;;;;;;x;;

spellcost.1;Spell Cost;x
spellcost.1_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.1a;Health;x
spellcost.1b;MANA!;x
spellcost.1c;Prisoners;x

spellcost.2;Spell Cost;x
spellcost.2_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.2a;Mana;x
spellcost.2b;Health!;x
spellcost.2c;Prisoners;x

spellcost.3;Spell Cost;x
spellcost.3_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.3a;Mana;x
spellcost.3b;Health!;x
spellcost.3c;Prisoners;x

spellcost.4;Spell Cost;x
spellcost.4_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.4a;Mana;x
spellcost.4b;Health!;x
spellcost.4c;Prisoners;x

spellcost.5;Spell Cost;x
spellcost.5_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.5a;Mana;x
spellcost.5b;Health!;x
spellcost.5c;Prisoners;x

spellcost.10;Spell Cost;x
spellcost.10_desc;Your arcane energies are burning the air around you, and now it is time for you to decide how you wish to pay the cost of your powers, will it be by the mystical energies of your body, or your vitality or perhaps like a master of the darkness you shall use the life force of those at your mercy...;x
spellcost.10a;Mana;x
spellcost.10b;Health!;x
spellcost.10c;Prisoners;x


obj_study_magic_title;Master the secrets of the arcane.;x
obj_study_magic_desc;You are dedicated towards the study and mastery of arcane and hidden secrets, your life will have no meaning till all things are revealed to you.;x


sorceryobj.1;War Magic;x
sorceryobj.1_desc;In your pursuit of ancient and hidden secrets you have stumbled upon the secrets of the magic of War. When you let your powers run they can bring ruin to entire armies;x
sorceryobj.1a;MAGIC IS MIGHT!;x

sorceryobj.11;Your studies deepen.;x
sorceryobj.11_desc;You have survived the horrendeous terrors of delving into the secrets of war magic. Now you may claim the title War Mage!;x
sorceryobj.11a;MAGIC IS MIGHT;x

sorceryobj.2;Alchemy;x
sorceryobj.2_desc;Your lust for the secrets of yore have led you to an ancient library. Within this dusty repository of lost lore, you have found the secrets of the ancient masters. Now not even immortality is beyond your grasp, for you have found the secrets of Alchemy!;x
sorceryobj.2a;For the exchange of equivalency!;x

sorceryobj.21;Your studies deepen. 
sorceryobj.21_desc;YOu have spent untold hours searching for the secrets of unmaking and remaking the fundamental elements of life. After your long studies it has gone within your grasp, eternity is yours if you shall but take it.;x
sorceryobj.21a;Life and riches are power beyond all else;x

sorceryobj.3;Herbalism.;x
sorceryobj.3_desc;Your studies in the creation of potions and the manipulation of the energies of life have begun to pay off. With your many years searching for the secrets of life you have learned not just how to heal, but how to harm.;x
sorceryobj.3a;By wisdom I shall rule with life.;x

sorceryobj.31;Your studies deepen.;x
sorceryobj.31_desc;Your mastery of the arts of healing have led you now to the title of the Herbalist. Your skills in the manipulation of life and death and disease are now rarely equalled by those still living.;x
sorceryobj.31a;Life if power and strength.;x

sorceryobj.4;Mentalism;x
sorceryobj.4_desc;In your many years of reading you have come to learn the mysteries of the soul and of the mind. It is now within your gift to rob others of their will but should you use it...
sorceryobj.4a;Mind is the power of the world.;x

sorceryobj.41;Your studies deepen;x
sorceryobj.41_desc;You have survived your long journeys into the realm of the mind. Yours is now a world of thought and soul beyond the grasp of any other mortal. For yours is a power that transcends life, and transcends death, this is the secret of the mind, the manipulation of the world at the deepest level.;x
sorceryobj.41a;Mind over Matter!;x

sorceryobj.5;All Power and Glory are Yours!
sorceryobj.5_desc;You have through hard work and many years of suffering managed to bring yourself to the very heights of power. You are now quite simply the Sorcerer, the master of magics arcane and common.;x
sorceryobj.5a;GLORY BE MINE!;x

sorceryobj.51;And now my rule shall last for eternity;x
sorceryobj.51_desc;As a Sorcerer it is now within your power to do anything that you remotely desire. This is time of your reign, long may you rule, and may your enemies shudder in fear and terror at the thought of your powers;x
sorceryobj.51a;MUAHAHAHA!;x

sorceryobj.99;CURSES AND DAMNATION!;x
sorceryobj.99_desc;Your experiments with the fickle energies of the ether have become your undoing. Alas it was, your quest for glory that sealed your fate.;x
sorceryobj.999a;NOOOO!;x


mana.2;Mana Rises;x
mana.2_desc;Your magical energies have begun to increase;x
mana.2a;Power;x
